Date,GUESTS
2019-01-01,89.0
2019-01-02,111.0
2019-01-03,114.0
2019-01-04,93.0
2019-01-05,143.0
2019-01-06,46.0
2019-01-07,104.0
2019-01-08,167.0
2019-01-09,86.0
2019-01-10,95.0
2019-01-11,98.0
2019-01-12,148.0
2019-01-13,105.0
2019-01-14,56.0
2019-01-15,158.0
2019-01-16,103.0
2019-01-17,177.0
2019-01-18,143.0
2019-01-19,174.0
2019-01-20,90.0
2019-01-21,53.0
2019-01-22,87.0
2019-01-23,92.0
2019-01-24,106.0
2019-01-25,76.0
2019-01-26,175.0
2019-01-27,86.0
2019-01-28,72.0
2019-01-29,90.0
2019-01-30,85.0
2019-01-31,125.0
2019-02-01,128.0
2019-02-02,170.0
2019-02-03,79.0
2019-02-04,77.0
2019-02-05,86.0
2019-02-06,136.0
2019-02-07,105.0
2019-02-08,97.0
2019-02-09,139.0
2019-02-10,104.0
2019-02-11,114.0
2019-02-12,99.0
2019-02-13,104.0
2019-02-14,189.0
2019-02-15,116.0
2019-02-16,197.0
2019-02-17,90.0
2019-02-18,70.0
2019-02-19,80.0
2019-02-20,89.0
2019-02-21,74.0
2019-02-22,69.0
2019-02-23,179.0
2019-02-24,58.0
2019-02-25,93.0
2019-02-26,89.0
2019-02-27,100.0
2019-02-28,124.0
2019-03-01,116.0
2019-03-02,224.0
2019-03-03,60.0
2019-03-04,92.0
2019-03-05,66.0
2019-03-06,64.0
2019-03-07,80.0
2019-03-08,141.0
2019-03-09,168.0
2019-03-10,68.0
2019-03-11,118.0
2019-03-12,85.0
2019-03-13,81.0
2019-03-14,91.0
2019-03-15,97.0
2019-03-16,90.0
2019-03-17,107.0
2019-03-18,75.0
2019-03-19,92.0
2019-03-20,114.0
2019-03-21,126.0
2019-03-22,103.0
2019-03-23,117.0
2019-03-24,78.0
2019-03-25,77.0
2019-03-27,89.0
2019-03-28,165.0
2019-03-29,138.0
2019-03-30,195.0
2019-03-31,104.0
2019-07-24,2.0
2019-07-30,78.0
2019-07-31,117.0
2019-08-01,102.0
2019-08-02,107.0
2019-08-03,99.0
2019-08-04,76.0
2019-08-05,88.0
2019-08-06,122.0
2019-08-07,121.0
2019-08-08,102.0
2019-08-09,89.0
2019-08-10,133.0
2019-08-11,93.0
2019-08-12,94.0
2019-08-13,90.0
2019-08-14,122.0
2019-08-15,184.0
2019-08-16,123.0
2019-08-17,171.0
2019-08-18,91.0
2019-08-19,88.0
2019-08-20,53.0
2019-08-21,189.0
2019-08-22,127.0
2019-08-23,75.0
2019-08-24,101.0
2019-08-25,66.0
2019-08-26,85.0
2019-08-27,85.0
2019-08-28,387.0
2019-08-29,108.0
2019-08-30,110.0
2019-08-31,136.0
