Date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,humidity,precip,precipprob,windgust,windspeed,cloudcover,solarradiation,uvindex,rain,snow
2019-01-01,8.8,5.3,7.3,5.0,0.0,3.1,79.7,1.329,100,81.3,37.7,57.8,18.8,1,1,0
2019-01-02,7.0,0.3,5.1,3.4,-1.9,1.4,70.6,0.125,100,83.3,37.3,31.9,28.4,2,1,0
2019-01-03,6.1,0.1,3.2,3.3,-1.8,0.4,89.0,0.196,100,42.7,17.5,66.5,27.4,1,1,1
2019-01-04,7.0,0.2,5.1,3.6,-1.7,1.8,89.7,0.195,100,47.3,24.8,97.6,5.8,0,1,0
2019-01-05,8.0,7.1,7.6,4.2,2.8,3.7,94.5,1.353,100,59.7,34.2,95.6,7.3,0,1,0
2019-01-06,7.1,5.3,6.7,4.4,3.2,3.9,94.4,1.539,100,46.8,25.0,94.7,13.8,1,1,0
2019-01-07,9.0,4.4,6.9,5.5,1.8,3.6,93.8,1.515,100,60.2,35.1,95.1,6.0,0,1,0
2019-01-08,8.0,5.2,7.0,4.1,-0.2,2.0,79.0,5.078,100,97.7,49.8,78.9,14.9,1,1,0
2019-01-09,6.0,3.1,4.8,1.6,-0.5,0.5,73.0,2.991,100,82.8,33.3,33.9,28.7,2,1,0
2019-01-10,4.9,-0.8,2.5,3.7,-3.4,0.3,88.5,0.457,100,46.8,16.6,50.7,11.9,1,1,0
2019-01-11,8.0,4.1,6.9,4.6,0.9,3.7,94.7,0.902,100,47.3,27.6,98.0,12.7,1,1,0
2019-01-12,8.0,6.0,7.0,4.5,2.1,3.5,90.2,2.394,100,55.5,29.5,92.3,9.2,1,1,0
2019-01-13,9.7,7.0,8.2,5.6,2.4,4.3,89.9,9.929,100,83.8,43.2,91.2,6.0,0,1,0
2019-01-14,6.2,2.6,4.3,2.1,-1.5,0.0,77.9,1.199,100,78.7,34.5,46.0,20.4,1,1,0
2019-01-15,7.9,2.4,6.3,4.3,-1.5,2.3,87.3,0.27,100,56.6,30.6,85.4,10.9,1,1,0
2019-01-16,8.0,5.1,6.7,4.2,0.0,2.3,90.5,0.394,100,59.7,34.9,99.6,5.2,0,1,0
2019-01-17,4.9,1.3,3.4,0.7,-3.2,-0.9,87.8,3.113,100,70.4,30.2,56.8,14.4,1,1,1
2019-01-18,4.0,-2.8,0.3,0.4,-7.5,-3.2,85.9,0.844,100,70.4,16.9,28.0,24.5,2,1,1
2019-01-19,2.0,-3.6,-1.5,-0.8,-7.7,-4.7,84.3,0.0,0,22.1,11.8,3.4,39.8,2,0,0
2019-01-20,0.1,-6.5,-3.8,0.1,-10.1,-5.7,91.2,0.0,0,22.1,10.0,1.1,27.3,1,0,0
2019-01-21,2.1,-7.7,-2.4,-1.0,-10.4,-5.1,94.0,0.039,100,21.6,13.1,45.5,22.7,1,1,1
2019-01-22,0.2,-2.8,-1.4,-3.8,-8.6,-6.6,83.5,0.707,100,40.6,24.5,46.2,25.5,1,1,1
2019-01-23,-1.1,-5.1,-2.4,-4.5,-9.5,-6.1,90.4,1.785,100,36.0,15.5,99.5,6.5,0,1,1
